nfi_plot,loc_id,meas_date,meas_num,plot_type,nom_plot_size,meas_plot_size,plot_split,species_smtnum,bindex_stshannon,bindex_steven,bindex_stmargalef,plotbio_smt_stemwood_live,plotbio_smt_stembark_live,plotbio_smt_branches_live,plotbio_smt_foliage_live,plotbio_smt_stemwood_dead,plotbio_smt_stembark_dead,plotbio_smt_branches_dead
696151,0,2004-AUG-15,0,STC,-1.0000,0.0050,F,4,1.01,0.73,0.73,5.12,0.81,3.46,6.93,0.02,0.01,0.01
696151,0,2009-SEP-29,1,STC,0.0050,0.0050,N,2,0.60,0.86,0.38,3.49,0.68,1.68,4.42,0.03,0.01,0.01
696201,0,2003-JUL-26,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,12.82,2.36,4.63,9.03,1.49,0.27,0.52
696201,0,2011-JUL-08,1,STC,0.0050,0.0050,N,1,0.00,,0.00,13.35,2.46,4.69,9.17,1.21,0.24,0.60
702906,0,2003-SEP-16,0,STC,-1.0000,0.0050,F,4,0.77,0.56,0.92,2.20,0.19,0.83,0.90,0.51,0.06,0.25
702906,0,2011-SEP-15,1,STC,0.0050,0.0050,N,3,0.87,0.79,1.12,0.88,0.16,0.17,0.38,0.00,0.00,0.00
709886,0,2004-AUG-06,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,4.41,0.79,2.07,6.29,3.14,0.56,1.02
709886,0,2014-JUN-22,1,STC,0.0050,0.0050,F,1,0.00,,0.00,7.57,1.35,2.91,8.03,0.00,0.00,0.00
716766,0,2004-AUG-05,0,STC,-1.0000,0.0050,F,3,0.80,0.72,0.64,5.23,1.03,2.81,7.11,1.29,0.23,0.42
716766,0,2010-JUN-09,1,STC,0.0050,0.0050,N,3,0.75,0.69,0.65,6.60,1.29,3.14,7.78,1.26,0.25,0.88
716796,0,2004-JUL-14,0,STC,-1.0000,0.0050,F,2,0.69,0.99,0.32,5.96,1.12,2.73,6.35,0.00,0.00,0.00
