nfi_plot,loc_id,meas_date,meas_num,plot_type,nom_plot_size,meas_plot_size,plot_split,site_index,site_index_genus,site_index_species,site_height,lorey_height,site_age,num_lab,num_field,basal_area_standlive,basal_area_standdead,basal_area_falllive,stem_density_standlive,stem_density_standdead,stem_density_falllive,species_ltnum,bindex_ltshannon,bindex_lteven,bindex_ltmargalef,plotbio_stemwood_live,plotbio_stembark_live,plotbio_branches_live,plotbio_foliage_live,plotbio_stemwood_dead,plotbio_stembark_dead,plotbio_branches_dead
689336,0,2003-JUL-18,0,LTC,0.0400,0.0400,F,5.0,PICE,MAR,5.2,5.3,79,1,0,0.89,0.00,0.00,100,0,0,1,0.00,,0.00,1.09,0.19,0.79,1.15,0.00,0.00,0.00
689336,0,2011-JUL-22,1,LTC,0.0400,0.0400,N,5.2,PICE,MAR,5.6,5.6,87,1,0,0.72,0.00,0.00,75,0,0,1,0.00,,0.00,1.20,0.20,0.42,0.41,0.00,0.00,0.00
696021,0,2003-SEP-14,0,LTC,0.0400,0.0400,F,7.8,PICE,MAR,9.2,9.0,207,5,0,6.05,2.25,0.00,600,200,0,2,0.17,0.25,0.31,12.01,1.92,2.83,3.62,4.64,0.72,0.89
696021,0,2011-SEP-13,1,LTC,0.0400,0.0400,N,7.7,PICE,MAR,9.1,8.9,219,4,0,6.39,0.62,0.00,600,50,0,2,0.17,0.25,0.31,12.56,2.00,3.08,3.87,1.40,0.21,0.27
696121,0,2004-JUL-06,0,LTC,0.0400,0.0400,F,9.3,PICE,MAR,10.5,11.2,115,4,1,9.58,17.03,4.57,400,625,150,2,0.56,0.81,0.36,25.24,4.79,8.39,8.41,28.83,5.77,9.40
696121,0,2010-JUN-12,1,LTC,0.0400,0.0400,N,9.7,ABIE,BAL,11.0,10.9,114,3,1,7.58,17.46,0.22,275,625,25,2,0.47,0.68,0.42,13.26,2.47,4.68,4.72,27.61,5.31,8.25
696151,0,2004-AUG-17,0,LTC,0.0400,0.0400,F,7.7,ABIE,BAL,5.2,5.2,39,5,0,1.42,0.00,0.00,175,0,0,2,0.68,0.99,0.51,1.45,0.28,0.92,1.55,0.00,0.00,0.00
696151,0,2009-SEP-29,1,LTC,0.0400,0.0400,N,8.0,ABIE,BAL,6.1,5.9,44,5,0,2.64,0.00,0.00,275,0,0,2,0.69,0.99,0.42,3.07,0.57,1.66,2.54,0.00,0.00,0.00
696201,0,2003-JUL-26,0,LTC,0.0400,0.0400,F,6.8,PICE,MAR,7.9,7.2,202,5,0,3.86,1.30,0.00,475,100,0,1,0.00,,0.00,6.43,1.08,2.12,2.98,2.03,0.36,0.55
696201,0,2011-JUL-08,1,LTC,0.0400,0.0400,N,6.9,PICE,MAR,7.4,7.4,233,2,0,3.30,0.62,0.00,400,75,0,1,0.00,,0.00,5.59,0.93,1.73,2.39,0.85,0.13,0.12
702906,0,2003-SEP-16,0,LTC,0.0400,0.0400,F,14.9,PICE,MAR,17.6,17.2,107,5,0,33.38,1.87,1.33,1400,75,50,3,0.43,0.39,0.50,104.96,16.23,14.72,11.84,4.45,0.64,0.58
702906,0,2011-SEP-15,1,LTC,0.0400,0.0400,N,16.0,PICE,MAR,19.0,16.5,116,3,0,24.96,1.44,0.00,1075,150,0,2,0.19,0.27,0.27,78.80,10.92,9.06,8.00,4.16,0.62,0.40
709886,0,2004-AUG-06,0,LTC,0.0400,0.0400,F,7.8,ABIE,BAL,8.1,6.2,82,1,0,4.94,11.20,0.00,550,500,0,2,0.30,0.44,0.32,5.49,1.06,2.44,4.01,16.52,2.70,8.31
709886,0,2014-JUN-23,1,LTC,0.0400,0.0400,F,7.7,ABIE,BAL,7.8,7.0,79,3,0,7.95,6.65,0.00,825,275,0,2,0.30,0.44,0.29,9.88,1.84,3.58,5.10,11.60,1.01,0.21
716766,0,2004-AUG-05,0,LTC,0.0400,0.0400,F,8.0,PICE,MAR,9.0,8.4,138,7,0,10.56,7.31,0.00,800,425,0,3,0.78,0.71,0.58,16.29,2.81,5.95,7.56,11.60,1.82,3.10
716766,0,2010-JUN-09,1,LTC,0.0400,0.0400,N,8.1,PICE,MAR,9.3,8.4,144,7,0,13.28,6.18,0.00,825,425,0,2,0.68,0.98,0.29,20.25,3.59,7.60,6.95,8.50,1.22,2.56
