nfi_plot,loc_id,meas_num,smtree_species_num,smtree_genus,smtree_species,smtree_variety,smtree_percent
916316,0,0,1,ACER,RUB,,60
916316,0,0,2,PICE,GLA,,24
916316,0,0,3,PICE,RUB,,11
916316,0,0,4,ACER,SAH,,3
916316,0,0,5,ABIE,BAL,,3
916316,0,1,1,ACER,RUB,,52
916316,0,1,2,PICE,GLA,,23
916316,0,1,3,PICE,MAR,,12
916316,0,1,4,ABIE,BAL,,9
916316,0,1,5,SORB,AME,,4
916351,0,0,1,ACER,RUB,,100
916351,0,1,1,ABIE,BAL,,85
916351,0,1,2,ACER,RUB,,15
922181,0,0,1,PICE,MAR,,36
922181,0,0,2,LARI,LAR,,28
922181,0,0,3,PICE,GLA,,24
922181,0,0,4,BETU,GLA,,12
923096,0,0,1,POPU,TRE,,49
923096,0,0,2,BETU,PAP,,41
923096,0,0,3,PRUN,PEN,,10
923201,0,0,1,ABIE,BAL,,100
923201,0,1,1,ABIE,BAL,,72
923201,0,1,2,ACER,RUB,,27
923201,0,1,3,BETU,ALL,,2
929016,0,0,1,PICE,MAR,,100
929016,0,1,1,PICE,MAR,,100
929021,0,0,1,PICE,MAR,,100
929021,0,1,1,PICE,MAR,,100
929061,0,0,1,PICE,MAR,,59
929061,0,0,2,LARI,LAR,,38
929061,0,0,3,SALI,SPP,,2
929061,0,0,4,SHEP,CAN,,1
929061,0,1,1,PICE,MAR,,83
929061,0,1,2,LARI,LAR,,17
929066,0,0,1,PICE,MAR,,84
929066,0,0,2,PICE,GLA,,17
929901,0,0,1,PICE,MAR,,79
929901,0,0,2,BETU,PAP,,10
929901,0,0,3,PINU,BAN,,10
929901,0,1,1,PICE,MAR,,90
929901,0,1,2,BETU,PAP,,10
929911,0,0,1,BETU,PAP,,100
929911,0,1,1,BETU,PAP,,99
929911,0,1,2,SORB,DEC,,1
930101,0,0,1,ABIE,BAL,,67
930101,0,0,2,BETU,POP,,32
930101,0,0,3,BETU,ALL,,1
930101,0,0,4,PICE,GLA,,1
930101,0,1,1,ABIE,BAL,,47
930101,0,1,2,ACER,RUB,,27
930101,0,1,3,BETU,POP,,18
930101,0,1,4,PICE,GLA,,7
930101,0,1,5,BETU,ALL,,1
930101,0,1,6,PINU,STR,,1
935891,0,0,1,PICE,MAR,,88
935891,0,0,2,BETU,NEO,,12
936756,0,0,1,PICE,MAR,,97
936756,0,0,2,AMEL,SPP,,3
936756,0,1,1,PICE,MAR,,100
936756,0,1,2,AMEL,BAR,,0
936761,0,0,1,PICE,MAR,,55
936761,0,0,2,ALNU,INC,RUG,23
936761,0,0,3,SALI,BEB,,21
936761,0,0,4,ABIE,BAL,,1
936761,0,1,1,PICE,MAR,,77
936761,0,1,2,ALNU,INC,RUG,12
936761,0,1,3,SALI,DIS,,9
936761,0,1,4,ABIE,BAL,,2
936786,1,0,1,ABIE,BAL,,68
936786,1,0,2,PICE,MAR,,32
936896,0,0,1,PICE,MAR,,53
936896,0,0,2,ABIE,BAL,,45
936896,0,0,3,ACER,RUB,,2
936896,0,1,1,ACER,RUB,,67
936896,0,1,2,ABIE,BAL,,31
936896,0,1,3,BETU,PAP,,2
942786,0,0,1,POPU,TRE,,100
942786,0,1,1,POPU,TRE,,100
943621,0,1,1,PICE,MAR,,100
943691,1,0,1,ABIE,BAL,,95
943691,1,0,2,ACER,SPI,,5
943746,0,0,1,SORB,AME,,63
943746,0,0,2,BETU,PAP,,20
943746,0,0,3,ABIE,BAL,,17
943766,0,0,1,ABIE,BAL,,58
943766,0,0,2,PICE,MAR,,21
943766,0,0,3,ACER,RUB,,21
943766,0,1,1,ABIE,BAL,,67
943766,0,1,2,ACER,RUB,,21
943766,0,1,3,PICE,MAR,,12
949656,0,0,1,PICE,MAR,,92
949656,0,0,2,BETU,NEO,,8
949656,0,1,1,PICE,MAR,,71
949656,0,1,2,BETU,PAP,,29
950551,1,0,1,ABIE,BAL,,85
950551,1,0,2,PICE,MAR,,15
950551,1,0,3,BETU,PAP,,1
950576,1,0,1,ABIE,BAL,,55
950576,1,0,2,BETU,PAP,,19
950576,1,0,3,PICE,GLA,,12
950576,1,0,4,ACER,SPI,,5
950576,1,0,5,ALNU,VIR,CRI,5
950576,1,0,6,SORB,AME,,3
950576,1,0,7,AMEL,BAR,,0
950636,0,0,1,ABIE,BAL,,89
950636,0,0,2,FAGU,GRA,,6
950636,0,0,3,CORY,COR,,4
950636,0,0,4,ACER,PEN,,1
950636,0,1,1,ABIE,BAL,,100
950721,0,0,1,PRUN,PEN,,78
950721,0,0,2,ACER,RUB,,8
950721,0,0,3,ACER,PEN,,6
950721,0,0,4,BETU,ALL,,4
950721,0,0,5,FAGU,GRA,,2
950721,0,0,6,POPU,TRE,,2
950721,0,1,1,PRUN,PEN,,52
950721,0,1,2,ABIE,BAL,,34
950721,0,1,3,ACER,SPI,,10
950721,0,1,4,ACER,SAH,,3
950721,0,1,5,BETU,ALL,,1
956641,0,0,1,PICE,MAR,,99
956641,0,0,2,SALI,SCO,,1
957376,1,0,1,ABIE,BAL,,95
957376,1,0,2,SALI,HUM,,4
957376,1,0,3,PICE,MAR,,2
957406,1,0,1,PICE,MAR,,80
957406,1,0,2,BETU,PAP,,14
957406,1,0,3,ABIE,BAL,,7
957441,1,0,1,PICE,MAR,,97
957441,1,0,2,SORB,AME,,2
957441,1,0,3,BETU,PAP,,1
957571,0,0,1,ABIE,BAL,,69
957571,0,0,2,PICE,MAR,,23
957571,0,0,3,ACER,RUB,,5
957571,0,0,4,VIBU,SPP,,2
957571,0,0,5,ALNU,INC,RUG,1
957571,0,1,1,ABIE,BAL,,82
957571,0,1,2,ACER,RUB,,16
957571,0,1,3,PRUN,PEN,,2
957621,0,0,1,PICE,RUB,,69
957621,0,0,2,ABIE,BAL,,31
957621,0,1,1,PICE,MAR,,55
957621,0,1,2,ABIE,BAL,,28
957621,0,1,3,PICE,RUB,,17
963511,0,0,1,PICE,MAR,,88
963511,0,0,2,PICE,GLA,,10
963511,0,0,3,LARI,LAR,,2
963511,0,1,1,PICE,MAR,,70
963511,0,1,2,PICE,GLA,,21
963511,0,1,3,LARI,LAR,,9
963521,0,0,1,PICE,GLA,,87
963521,0,0,2,BETU,PAP,,13
964391,0,0,1,ACER,PEN,,31
964391,0,0,2,PICE,GLA,,31
964391,0,0,3,ABIE,BAL,,20
964391,0,0,4,BETU,PAP,,16
964391,0,0,5,CORY,COR,,1
964391,0,0,6,ACER,SAH,,1
964391,0,0,7,ACER,SPI,,1
964391,0,0,8,PICE,RUB,,1
964391,0,1,1,PICE,GLA,,46
964391,0,1,2,ABIE,BAL,,28
964391,0,1,3,ACER,PEN,,24
964391,0,1,4,PICE,RUB,,2
964391,0,1,5,ACER,SAH,,1
964406,0,0,1,ACER,RUB,,49
964406,0,0,2,ACER,PEN,,42
964406,0,0,3,BETU,ALL,,10
964406,0,1,1,ACER,RUB,,93
964406,0,1,2,ACER,PEN,,8
964446,0,0,1,BETU,POP,,56
964446,0,0,2,PICE,MAR,,24
964446,0,0,3,ABIE,BAL,,15
964446,0,0,4,BETU,PAP,,4
964446,0,0,5,ACER,RUB,,3
964446,0,1,1,PICE,MAR,,72
964446,0,1,2,BETU,PAP,,28
964446,0,1,3,ACER,RUB,,0
964496,0,0,1,ALNU,INC,RUG,50
964496,0,0,2,POPU,TRE,,24
964496,0,0,3,ABIE,BAL,,14
964496,0,0,4,PICE,GLA,,12
964496,0,1,1,ALNU,INC,RUG,62
964496,0,1,2,POPU,TRE,,16
964496,0,1,3,ABIE,BAL,,16
964496,0,1,4,ALNU,INC,,7
970321,0,0,1,POPU,TRE,,75
970321,0,0,2,PICE,GLA,,25
970321,0,1,1,PICE,GLA,,100
970336,0,0,1,BETU,GLA,,90
970336,0,0,2,POPU,TRE,,11
970336,0,1,1,PICE,MAR,,100
971181,0,0,1,PICE,MAR,,58
971181,0,0,2,ABIE,BAL,,31
971181,0,0,3,BETU,PAP,,10
971181,0,0,4,SORB,AME,,2
971181,0,1,1,PICE,MAR,,89
971181,0,1,2,ABIE,BAL,,11
971196,1,0,1,PICE,MAR,,78
971196,1,0,2,ABIE,BAL,,21
971196,1,0,3,PICE,GLA,,1
971196,1,0,4,BETU,PAP,,0
971201,0,0,1,PICE,MAR,,100
971201,0,1,1,PICE,MAR,,100
971276,0,0,1,BETU,PAP,,49
971276,0,0,2,PICE,GLA,,30
971276,0,0,3,PICE,MAR,,21
971276,0,0,4,SALI,SPP,,1
971276,0,1,1,PICE,GLA,,38
971276,0,1,2,BETU,PAP,,33
971276,0,1,3,PICE,MAR,,29
971281,0,0,1,ACER,RUB,,51
971281,0,0,2,BETU,PAP,,33
971281,0,0,3,ABIE,BAL,,14
971281,0,0,4,PICE,RUB,,2
971281,0,0,5,ACER,PEN,,1
971281,0,1,1,ACER,RUB,,62
971281,0,1,2,BETU,PAP,,27
971281,0,1,3,ABIE,BAL,,10
971281,0,1,4,PICE,RUB,,1
971281,0,1,5,ACER,PEN,,0
971281,0,2,1,ACER,RUB,,69
971281,0,2,2,BETU,PAP,,16
971281,0,2,3,ABIE,BAL,,14
971281,0,2,4,PICE,MAR,,1
971356,0,0,1,PICE,MAR,,60
971356,0,0,2,ABIE,BAL,,40
971356,0,1,1,PICE,MAR,,64
971356,0,1,2,ABIE,BAL,,36
977196,0,0,1,PICE,GLA,,84
977196,0,0,2,SALI,SCO,,17
977196,0,1,1,PICE,GLA,,99
977196,0,1,2,POPU,TRE,,1
977211,0,0,1,PICE,MAR,,97
977211,0,0,2,LARI,LAR,,3
977211,0,1,1,LARI,LAR,,100
977281,0,0,1,PINU,BAN,,100
977281,0,0,2,PICE,MAR,,0
977281,0,1,1,PINU,BAN,,97
977281,0,1,2,PICE,MAR,,3
978026,0,0,1,PICE,MAR,,100
978026,0,0,2,AMEL,SPP,,0
978026,0,1,1,PICE,MAR,,100
978036,1,0,1,PICE,MAR,,95
978036,1,0,2,ABIE,BAL,,5
978056,1,0,1,PICE,MAR,,97
978056,1,0,2,SALI,HUM,,3
978086,1,0,1,ABIE,BAL,,94
978086,1,0,2,PICE,MAR,,6
978086,1,0,3,SORB,DEC,,0
978086,1,0,4,AMEL,BAR,,0
978136,0,0,1,ABIE,BAL,,95
978136,0,0,2,PRUN,PEN,,4
978136,0,0,3,ACER,RUB,,2
978136,0,1,1,ABIE,BAL,,86
978136,0,1,2,ACER,RUB,,11
978136,0,1,3,SORB,AME,,2
978136,0,1,4,PRUN,PEN,,0
978136,0,1,5,BETU,PAP,,0
978156,0,0,1,PRUN,PEN,,92
978156,0,0,2,ACER,SAC,,4
978156,0,0,3,ACER,SPI,,3
978156,0,0,4,VIBU,SPP,,0
978156,0,0,5,FAGU,GRA,,0
978156,0,0,6,ACER,PEN,,0
978156,0,0,7,BETU,ALL,,0
978231,0,0,1,PICE,RUB,,100
978231,0,1,1,PICE,RUB,,100
984081,0,0,1,PICE,MAR,,100
984081,0,1,1,PICE,MAR,,100
984981,1,0,1,ABIE,BAL,,100
985051,0,0,1,ACER,SAH,,56
985051,0,0,2,BETU,GLA,,31
985051,0,0,3,VIBU,SPP,,8
985051,0,0,4,CORY,COR,,4
985051,0,0,5,ABIE,BAL,,2
985051,0,1,1,ACER,SAH,,47
985051,0,1,2,BETU,ALL,,47
985051,0,1,3,ABIE,BAL,,6
985051,0,2,1,ABIE,BAL,,99
985051,0,2,2,ACER,RUB,,1
985126,0,0,1,ACER,RUB,,59
985126,0,0,2,ABIE,BAL,,33
985126,0,0,3,LARI,LAR,,4
985126,0,0,4,AMEL,LAE,,2
985126,0,0,5,POPU,TRE,,2
985126,0,1,1,ABIE,BAL,,47
985126,0,1,2,PINU,STR,,30
985126,0,1,3,ACER,SAH,,22
985126,0,1,4,PICE,RUB,,0
991766,1,0,1,PICE,MAR,,53
991766,1,0,2,ABIE,BAL,,47
991776,0,0,1,SALI,BEB,,56
991776,0,0,2,PICE,MAR,,44
991776,0,1,1,PICE,MAR,,73
991776,0,1,2,SALI,HUM,,22
991776,0,1,3,AMEL,BAR,,5
991816,0,0,1,PINU,BAN,,97
991816,0,0,2,PICE,MAR,,3
991826,0,0,1,ALNU,INC,RUG,30
991826,0,0,2,PICE,MAR,,28
991826,0,0,3,ABIE,BAL,,19
991826,0,0,4,BETU,PAP,,14
991826,0,0,5,PRUN,PEN,,5
991826,0,0,6,SALI,BEB,,4
991826,0,1,1,ABIE,BAL,,36
991826,0,1,2,ALNU,INC,RUG,23
991826,0,1,3,PICE,MAR,,15
991826,0,1,4,BETU,PAP,,14
991826,0,1,5,PRUN,PEN,,7
991826,0,1,6,SALI,LUC,,3
991826,0,1,7,SALI,HUM,,2
991866,1,0,1,ABIE,BAL,,63
991866,1,0,2,SORB,DEC,,29
991866,1,0,3,PICE,MAR,,8
991866,1,0,4,AMEL,SPP,,1
991881,0,0,1,ALNU,INC,RUG,95
991881,0,0,2,ACER,SPI,,5
991881,0,0,3,SORB,AME,,0
991881,1,0,1,ACER,RUB,,44
991881,1,0,2,ACER,SPI,,29
991881,1,0,3,ACER,PEN,,13
991881,1,0,4,SORB,DEC,,7
991881,1,0,5,ABIE,BAL,,6
991881,1,0,6,BETU,ALL,,2
991906,0,0,1,ACER,SPI,,71
991906,0,0,2,SORB,AME,,15
991906,0,0,3,ACER,RUB,,9
991906,0,0,4,ACER,SAH,,2
991906,0,0,5,ACER,PEN,,1
991906,0,0,6,PICE,GLA,,1
991906,0,0,7,VIBU,SPP,,1
