nfi_plot,loc_id,meas_num,species_num,genus,species,variety,species_strel
853346,0,0,1,PICE,GLA,,0.583
853346,0,0,2,SALI,SPP,,0.250
853346,0,0,3,ALNU,CRI,,0.083
853346,0,0,4,PICE,MAR,,0.083
854281,1,0,1,ABIE,BAL,,0.525
854281,1,0,2,PICE,MAR,,0.450
854281,1,0,3,BETU,PAP,,0.025
860171,0,0,1,PICE,MAR,,0.909
860171,0,0,2,PICE,GLA,,0.091
861151,0,0,1,ABIE,BAL,,0.923
861151,0,0,2,PICE,GLA,,0.077
861151,0,1,1,ABIE,BAL,,0.714
861151,0,1,2,BETU,PAP,,0.143
861151,0,1,3,PICE,MAR,,0.143
867091,0,0,1,PICE,GLA,,0.390
867091,0,0,2,PICE,MAR,,0.244
867091,0,0,3,BETU,GLA,,0.195
867091,0,0,4,SALI,SPP,,0.098
867091,0,0,5,SALI,PLA,,0.049
867091,0,0,6,LARI,LAR,,0.024
873921,0,0,1,PICE,MAR,,0.702
873921,0,0,2,LARI,LAR,,0.298
873961,0,0,1,PICE,MAR,,0.429
873961,0,0,2,BETU,GLA,,0.214
873961,0,0,3,LARI,LAR,,0.214
873961,0,0,4,PICE,SPP,,0.143
874051,0,0,1,PICE,GLA,,0.500
874051,0,0,2,POPU,TRE,,0.500
880786,0,0,1,PICE,MAR,,1.000
880796,0,0,1,PICE,MAR,,0.565
880796,0,0,2,LARI,LAR,,0.435
880806,0,0,1,PICE,MAR,,0.875
880806,0,0,2,LARI,LAR,,0.125
880821,0,0,1,SALI,SPP,,0.394
880821,0,0,2,ALNU,CRI,,0.242
880821,0,0,3,PICE,MAR,,0.242
880821,0,0,4,LARI,LAR,,0.091
880821,0,0,5,PICE,GLA,,0.030
880841,0,0,1,BETU,PAP,,0.714
880841,0,0,2,PICE,MAR,,0.286
880846,0,0,1,LARI,LAR,,0.667
880846,0,0,2,PICE,MAR,,0.333
880886,0,0,1,PICE,GLA,,0.655
880886,0,0,2,BETU,GLA,,0.276
880886,0,0,3,PICE,MAR,,0.069
881726,0,0,1,UNKN,SPP,,1.000
881726,0,1,1,BETU,GLA,,1.000
