nfi_plot,loc_id,meas_num,species_num,genus,species,variety,percent
909476,0,1,2,ACER,RUB,,13.0
909476,0,1,3,PICE,MAR,,11.4
909476,0,1,4,BETU,PAP,,1.5
915266,0,0,1,BETU,NEO,,100.0
916121,0,0,1,PINU,BAN,,100.0
916121,1,0,1,PICE,MAR,,100.0
916166,0,0,1,PICE,MAR,,71.8
916166,0,0,2,ABIE,BAL,,28.2
916171,0,0,1,PICE,MAR,,96.6
916171,0,0,2,ABIE,BAL,,3.4
916171,0,1,1,PICE,MAR,,94.5
916171,0,1,2,ABIE,BAL,,5.5
916316,0,0,1,LARI,LAR,,58.5
916316,0,0,2,PICE,GLA,,21.9
916316,0,0,3,ACER,RUB,,15.0
916316,0,0,4,BETU,PAP,,4.5
916316,0,1,1,ACER,RUB,,49.0
916316,0,1,2,PICE,GLA,,27.2
916316,0,1,3,BETU,POP,,10.4
916316,0,1,4,LARI,LAR,,9.0
916316,0,1,5,BETU,PAP,,3.3
916316,0,1,6,ABIE,BAL,,1.1
916351,0,0,1,BETU,ALL,,51.9
916351,0,0,2,ACER,RUB,,46.9
916351,0,0,3,ABIE,BAL,,1.2
916351,0,1,1,BETU,ALL,,70.5
916351,0,1,2,ACER,RUB,,27.6
916351,0,1,3,ABIE,BAL,,1.9
922181,0,0,1,PICE,GLA,,68.3
922181,0,0,2,PICE,MAR,,31.7
923096,0,0,1,POPU,TRE,,39.5
923096,0,0,2,BETU,PAP,,20.2
923096,0,0,3,ABIE,BAL,,18.3
923096,0,0,4,ACER,RUB,,17.2
923096,0,0,5,PICE,GLA,,4.9
923201,0,0,1,ABIE,BAL,,55.7
923201,0,0,2,PICE,RUB,,18.4
923201,0,0,3,ACER,RUB,,18.2
923201,0,0,4,PICE,GLA,,7.8
923201,0,1,1,ABIE,BAL,,34.2
923201,0,1,2,ACER,RUB,,21.2
923201,0,1,3,PICE,GLA,,18.4
923201,0,1,4,PICE,MAR,,14.1
923201,0,1,5,PICE,RUB,,12.0
929016,0,0,1,PICE,MAR,,100.0
929016,0,1,1,PICE,MAR,,100.0
929021,0,1,1,PICE,MAR,,100.0
929061,0,0,1,PICE,GLA,,79.3
929061,0,0,2,PICE,MAR,,20.7
929061,0,1,1,PICE,GLA,,80.0
929061,0,1,2,PICE,MAR,,20.0
929066,0,0,1,PICE,MAR,,88.3
929066,0,0,2,PICE,GLA,,11.7
929901,0,0,1,PICE,MAR,,68.3
929901,0,0,2,PINU,BAN,,29.1
929901,0,0,3,BETU,PAP,,2.6
929901,0,1,1,PICE,MAR,,82.5
929901,0,1,2,PINU,BAN,,13.1
929901,0,1,3,BETU,PAP,,4.4
929911,0,0,1,PICE,MAR,,100.0
929911,0,1,1,PICE,MAR,,98.7
929911,0,1,2,ABIE,BAL,,1.3
930101,0,0,1,ACER,RUB,,73.7
930101,0,0,2,ABIE,BAL,,10.1
930101,0,0,3,PICE,RUB,,9.8
930101,0,0,4,PICE,GLA,,6.4
930101,0,1,1,ACER,RUB,,63.6
930101,0,1,2,ABIE,BAL,,25.4
930101,0,1,3,PICE,GLA,,11.0
935891,0,0,1,PICE,MAR,,100.0
936756,0,0,1,PICE,MAR,,92.9
936756,0,0,2,BETU,PAP,,4.5
936756,0,0,3,ABIE,BAL,,2.6
936756,0,1,1,PICE,MAR,,90.9
936756,0,1,2,ABIE,BAL,,5.7
936756,0,1,3,BETU,PAP,,3.4
936761,0,0,1,PICE,MAR,,96.8
936761,0,0,2,LARI,LAR,,3.2
936761,0,1,1,PICE,MAR,,94.7
936761,0,1,2,LARI,LAR,,5.3
936786,0,0,1,PICE,MAR,,87.2
936786,0,0,2,ABIE,BAL,,12.8
936786,1,0,1,ABIE,BAL,,42.6
936786,1,0,2,PICE,MAR,,39.2
936786,1,0,3,PICE,GLA,,18.2
936896,0,0,1,ABIE,BAL,,45.2
936896,0,0,2,PICE,MAR,,40.1
936896,0,0,3,ACER,RUB,,7.8
936896,0,0,4,BETU,PAP,,6.9
936896,0,1,1,ACER,RUB,,100.0
943691,0,0,1,ABIE,BAL,,79.2
943691,0,0,2,BETU,PAP,,10.4
943691,0,0,3,PICE,MAR,,10.4
943691,1,0,1,ABIE,BAL,,63.4
943691,1,0,2,PICE,MAR,,31.9
943691,1,0,3,BETU,PAP,,4.8
943746,0,0,1,PICE,GLA,,71.8
943746,0,0,2,BETU,PAP,,22.2
943746,0,0,3,PRUN,PEN,,6.0
943766,0,0,1,PICE,MAR,,75.8
943766,0,0,2,ABIE,BAL,,16.6
943766,0,0,3,ACER,RUB,,7.7
943766,0,1,1,PICE,MAR,,75.9
943766,0,1,2,ABIE,BAL,,14.7
943766,0,1,3,ACER,RUB,,9.4
949656,0,0,1,PICE,MAR,,94.1
949656,0,0,2,PICE,GLA,,5.9
949656,0,1,1,PICE,MAR,,94.1
949656,0,1,2,PICE,GLA,,5.9
950551,0,0,1,POPU,TRE,,36.9
950551,0,0,2,ABIE,BAL,,35.8
950551,0,0,3,PICE,MAR,,15.3
950551,0,0,4,BETU,PAP,,12.0
950551,1,0,1,ABIE,BAL,,64.1
950551,1,0,2,PICE,MAR,,35.9
950576,0,0,1,PICE,MAR,,54.0
950576,0,0,2,PINU,BAN,,46.0
950576,1,0,1,PICE,GLA,,61.3
950576,1,0,2,ABIE,BAL,,21.1
950576,1,0,3,BETU,PAP,,17.5
950636,0,0,1,ACER,RUB,,50.9
950636,0,0,2,FAGU,GRA,,23.0
950636,0,0,3,BETU,ALL,,22.4
950636,0,0,4,ABIE,BAL,,2.3
950636,0,0,5,ACER,SAC,,0.7
950636,0,0,6,ACER,SAH,,0.7
950636,0,1,1,ACER,RUB,,48.4
950636,0,1,2,BETU,ALL,,24.9
950636,0,1,3,FAGU,GRA,,17.8
950636,0,1,4,ABIE,BAL,,7.5
950636,0,1,5,ACER,PEN,,0.7
950636,0,1,6,ACER,SAC,,0.7
956641,0,0,1,PICE,MAR,,64.3
956641,0,0,2,PICE,GLA,,35.7
957376,0,0,1,ABIE,BAL,,49.7
957376,0,0,2,PICE,MAR,,29.8
957376,0,0,3,BETU,PAP,,20.5
957376,1,0,1,PICE,MAR,,75.1
957376,1,0,2,ABIE,BAL,,23.9
957376,1,0,3,BETU,PAP,,1.0
957406,0,0,1,PICE,MAR,,40.3
957406,0,0,2,ABIE,BAL,,38.6
957406,0,0,3,BETU,PAP,,21.2
957406,1,0,1,PICE,MAR,,80.6
957406,1,0,2,POPU,TRE,,17.4
957406,1,0,3,BETU,PAP,,2.0
957441,0,0,1,PICE,MAR,,77.4
957441,0,0,2,ABIE,BAL,,22.6
957441,1,0,1,PICE,MAR,,100.0
957571,0,0,1,PICE,MAR,,75.4
957571,0,0,2,ABIE,BAL,,22.5
957571,0,0,3,ACER,RUB,,2.2
957571,0,1,1,PICE,MAR,,67.1
